timestamp,overall_score,neck_alignment,shoulder_level,forward_head,spine_straight,body_lean,feedback_count,has_issues
2025-06-10T20:13:29.637199,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.684130,89,100,48.99773597717285,100,100,100,1,True
2025-06-10T20:13:29.715726,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.745716,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.791477,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.823176,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.854350,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.884606,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.931909,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.963268,88,100,40,100,100,100,1,True
2025-06-10T20:13:29.994873,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.025485,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.056524,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.087358,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.119085,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.165904,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.196652,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.227322,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.243163,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.273848,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.320158,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.381395,100,100,100,100,100,100,0,False
2025-06-10T20:13:30.428461,100,100,100,100,100,100,0,False
2025-06-10T20:13:30.459828,100,100,100,100,100,100,0,False
2025-06-10T20:13:30.475514,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.506273,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.537562,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.584194,100,100,100,100,100,100,0,False
2025-06-10T20:13:30.615623,100,100,100,100,100,100,0,False
2025-06-10T20:13:30.647288,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.663289,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.726272,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.772813,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.803785,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.834604,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.865992,100,100,100,100,100,100,0,False
2025-06-10T20:13:30.913391,100,100,100,100,100,100,0,False
